Serotype_A	Serotype_B	N_Shared_Assays	Verdict	Min_Identity	Distinguishing_Assays	Identical_Assays
01	05	1	RESOLVABLE_BY_COMBINATION	85.5	19F(85.5%)	
01	06E	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	07A	1	RESOLVABLE_BY_COMBINATION	96.8	19F(96.8%)	
01	07B	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	07F	1	RESOLVABLE_BY_COMBINATION	96.8	19F(96.8%)	
01	09L	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	09N	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	10C	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	10F	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	11A	1	RESOLVABLE_BY_COMBINATION	82.3	19F(82.3%)	
01	11B	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	11C	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	11D	1	RESOLVABLE_BY_COMBINATION	82.3	19F(82.3%)	
01	13	1	RESOLVABLE_BY_COMBINATION	95.2	19F(95.2%)	
01	18A	1	RESOLVABLE_BY_COMBINATION	96.8	19F(96.8%)	
01	18F	1	RESOLVABLE_BY_COMBINATION	82.3	19F(82.3%)	
01	19AF	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	19F	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	19FI	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	19FII	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	19FIII	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	19FIV	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	20A	1	RESOLVABLE_BY_COMBINATION	95.2	19F(95.2%)	
01	20B	1	RESOLVABLE_BY_COMBINATION	95.2	19F(95.2%)	
01	20C	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	23B	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	23B1	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	27	1	RESOLVABLE_BY_COMBINATION	95.2	19F(95.2%)	
01	33A	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	33F	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	35A	1	RESOLVABLE_BY_COMBINATION	80.6	19F(80.6%)	
01	39	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	40	1	RESOLVABLE_BY_COMBINATION	98.4	19F(98.4%)	
01	48	1	RESOLVABLE_BY_COMBINATION	95.2	19F(95.2%)	
02	04	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	05	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	06A	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	06AI	1	RESOLVABLE_BY_COMBINATION	0.2	35F/47F(0.2%)	
02	06AII	1	RESOLVABLE_BY_COMBINATION	0.2	35F/47F(0.2%)	
02	06AIII	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	06AIV	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	06AV	1	RESOLVABLE_BY_COMBINATION	0.1	35F/47F(0.1%)	
02	06AVI	1	RESOLVABLE_BY_COMBINATION	0.2	35F/47F(0.2%)	
02	06B	1	RESOLVABLE_BY_COMBINATION	0.6	35F/47F(0.6%)	
02	06BI	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	06BII	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	06C	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	06D	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	06E	1	RESOLVABLE_BY_COMBINATION	0.3	35F/47F(0.3%)	
02	06F	1	RESOLVABLE_BY_COMBINATION	0.6	35F/47F(0.6%)	
02	06G	1	RESOLVABLE_BY_COMBINATION	0.2	35F/47F(0.2%)	
02	07A	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	07B	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	07C	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	07F	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	08	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	09A	1	RESOLVABLE_BY_COMBINATION	0.3	35F/47F(0.3%)	
02	09L	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	09N	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	09V	1	RESOLVABLE_BY_COMBINATION	0.3	35F/47F(0.3%)	
02	10A	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	10B	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	10C	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	10D	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	10F	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	11E	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	11F	1	RESOLVABLE_BY_COMBINATION	0.6	35F/47F(0.6%)	
02	11F_like	1	RESOLVABLE_BY_COMBINATION	1.0	35F/47F(1.0%)	
02	12A	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	12B	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	12F	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	15A	1	RESOLVABLE_BY_COMBINATION	0.6	35F/47F(0.6%)	
02	15B	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	15C	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	15D	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	15F	1	RESOLVABLE_BY_COMBINATION	0.6	35F/47F(0.6%)	
02	16A	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	16F	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	17A	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	17F	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	18B	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	18C	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	18F	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19A	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19AF	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	19AI	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19AII	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19AIII	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19B	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19C	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19F	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19FI	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19FII	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19FIII	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	19FIV	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	21	1	RESOLVABLE_BY_COMBINATION	0.3	35F/47F(0.3%)	
02	22A	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	22F	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	23A	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	23B	1	RESOLVABLE_BY_COMBINATION	0.3	35F/47F(0.3%)	
02	23B1	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	23F	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	24A	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	24B	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	24C	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	24F	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	24F2	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	25A	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	25F	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	27	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	28A	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	28F	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	29	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	31	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	32A	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	32F	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	33A	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	33B	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	33C	1	RESOLVABLE_BY_COMBINATION	0.6	35F/47F(0.6%)	
02	33D	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	33E	1	RESOLVABLE_BY_COMBINATION	0.2	35F/47F(0.2%)	
02	33F	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	33G	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	33H	1	RESOLVABLE_BY_COMBINATION	0.5	35F/47F(0.5%)	
02	34	1	RESOLVABLE_BY_COMBINATION	0.6	35F/47F(0.6%)	
02	35A	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	35C	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	35F	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	36A	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	36B	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	38	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	39	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	40	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	41A	1	RESOLVABLE_BY_COMBINATION	0.2	35F/47F(0.2%)	
02	41F	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	42	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	43	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	44	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	45	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	46	1	RESOLVABLE_BY_COMBINATION	0.4	35F/47F(0.4%)	
02	47A	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	47F	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
02	48	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	05	1	RESOLVABLE_BY_COMBINATION	0.1	35F/47F(0.1%)	
04	06A	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06AI	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06AII	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06AIII	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06AIV	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06AV	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06AVI	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06B	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06BI	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06BII	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06C	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06D	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06E	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06F	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
04	06G	1	RESOLVABLE_BY_COMBINATION	0.0	35F/47F(0.0%)	
