Assay_Set	Intended_Targets	Cross_Reactive_Sero	Amplicon_bp
10A/B	10A, 10B	04	0
10A/B	10A, 10B	11B	6038
10A/B	10A, 10B	11C	6038
10A/B	10A, 10B	21	98
10A/B	10A, 10B	27	0
10A/B	10A, 10B	35A	98
10A/B	10A, 10B	35C	1289
10A/B	10A, 10B	36A	0
10A/B	10A, 10B	39	0
10A/B	10A, 10B	42	1289
10A/B	10A, 10B	45	9529
10A/B	10A, 10B	47A	0
10A/B	10A, 10B	NCC2_aliC_aliD_non_encapsulated	0
10B	10B	10A	4568
10B	10B	10C	6670
10B	10B	10F	6675
10B	10B	33G	4279
10B	10B	33H	4279
10C/F	10C, 10F	10A	137
10C/F	10C, 10F	10B	137
11A/B/C/ D/F/(E)	11A, 11B, 11C, 11D, 11F	11E	74
11A/B/C/ D/F/(E)	11A, 11B, 11C, 11D, 11F	11F_like	74
11A/D	11A, 11D	11B	93
11A/D	11A, 11D	11C	93
11A/D	11A, 11D	11F	93
11A/D	11A, 11D	14	93
11A/D	11A, 11D	15A	93
11A/D	11A, 11D	15D	93
11A/D	11A, 11D	15F	93
11F	11F	11A	93
11F	11F	11D	93
11F	11F	11E	93
11F	11F	11F_like	93
11F	11F	14	93
11F	11F	15A	93
11F	11F	15D	93
11F	11F	15F	93
12B	12B	12A	150
12B	12B	12F	150
12B	12B	44	150
12B	12B	46	150
14	14	15A	6462
14	14	15B	6613
14	14	15C	6615
14	14	15D	6613
14	14	15F	6603
15A/B/C/F	15A, 15B, 15C, 15F	14	93
15A/B/C/F	15A, 15B, 15C, 15F	15D	4758
15A/F	15A, 15F	15D	117
18C/F	18C, 18F	18B	2227
18F:  16F/18F/28AF	16F, 18F, 28AF	28A	92
18F:  16F/18F/28AF	16F, 18F, 28AF	28F	92
19A	19A	19AF	78
19A	19A	19AI	78
19A	19A	19AII	78
19A	19A	19AIII	78
19A	19A	19B	78
19A	19A	19C	78
19B/F	19B, 19F	19C	75
19B/F	19B, 19F	19FI	75
19B/F	19B, 19F	19FII	75
19B/F	19B, 19F	19FIII	75
19B/F	19B, 19F	19FIV	75
19F	19F	01	62
19F	19F	05	62
19F	19F	06E	62
19F	19F	07A	62
19F	19F	07B	62
19F	19F	07F	62
19F	19F	09L	62
19F	19F	09N	62
19F	19F	10C	62
19F	19F	10F	62
19F	19F	11A	62
19F	19F	11B	62
19F	19F	11C	62
19F	19F	11D	62
19F	19F	13	62
19F	19F	14	62
19F	19F	16A	62
19F	19F	16F	62
19F	19F	18A	62
19F	19F	18B	62
19F	19F	18C	62
19F	19F	18F	62
19F	19F	19AF	62
19F	19F	19B	62
19F	19F	19FI	62
19F	19F	19FII	62
19F	19F	19FIII	62
19F	19F	19FIV	62
19F	19F	20A	62
19F	19F	20B	62
19F	19F	20C	62
19F	19F	23A	62
19F	19F	23B	62
19F	19F	23B1	62
19F	19F	23F	62
19F	19F	24A	62
19F	19F	24F	62
19F	19F	27	62
19F	19F	29	62
19F	19F	33A	62
19F	19F	33F	62
19F	19F	35A	62
19F	19F	36A	62
19F	19F	36B	62
19F	19F	39	62
19F	19F	40	62
19F	19F	43	62
19F	19F	47A	62
19F	19F	48	62
19F Atypical	19F, 19ATYPICAL	19AF	106
20	20	20A	92
20	20	20B	92
20	20	20C	92
23A/B/F	23A, 23B, 23F	23B1	73
23B	23B	23B1	78
23F	23F	23A	105
23F	23F	23B	105
23F	23F	23B1	105
24B/F	24B, 24F	24C	133
24B/F	24B, 24F	24F2	133
33A/F/37	33A, 33F, 37	33E	105
33D	33D	06E	81
34/37/17A	34, 37, 17A	33A	76
34/37/17A	34, 37, 17A	33E	76
34/37/17A	34, 37, 17A	33F	76
34/37/17A	34, 37, 17A	33G	76
34/37/17A	34, 37, 17A	33H	76
34/37/17A	34, 37, 17A	35A	76
34/37/17A	34, 37, 17A	35B	76
34/37/17A	34, 37, 17A	35C	76
34/37/17A	34, 37, 17A	35D	76
34/37/17A	34, 37, 17A	41F	76
34/37/17A	34, 37, 17A	42	76
35B	35B	35D	124
35F/47F	35F, 47F	02	11185
35F/47F	35F, 47F	04	4402
35F/47F	35F, 47F	05	7108
35F/47F	35F, 47F	06A	8489
35F/47F	35F, 47F	06AI	3961
35F/47F	35F, 47F	06AII	3964
35F/47F	35F, 47F	06AIII	8490
35F/47F	35F, 47F	06AIV	8489
35F/47F	35F, 47F	06AV	8489
35F/47F	35F, 47F	06AVI	3964
35F/47F	35F, 47F	06B	3961
