Assay_Set	N_Intended	N_Amplified	Min_Identity	Max_Identity	Verdict	Identical_Pairs	Distinct_Pairs	Cross_Reactive
1	1	1	N/A	N/A	SINGLE_TARGET			
10A/B	2	15	19.3	19.3	RESOLVABLE		10A/10B(19.3%)	04, 11B, 11C, 21, 27, 35A, 35C, 36A, 39, 42, 45, 47A, NCC2_aliC_aliD_non_encapsulated
10B	1	6	N/A	N/A	SINGLE_TARGET			10A, 10C, 10F, 33G, 33H
10C/F	2	4	100.0	100.0	INDISTINGUISHABLE	10C/10F		10A, 10B
11A/B/C/ D/F/(E)	5	7	97.3	100.0	LIKELY_RESOLVABLE	11A/11B; 11A/11D; 11A/11F; 11B/11D; 11B/11F; 11D/11F	11A/11C(97.3%); 11B/11C(97.3%); 11C/11D(97.3%); 11C/11F(97.3%)	11E, 11F_like
11A/D	2	9	100.0	100.0	INDISTINGUISHABLE	11A/11D		11B, 11C, 11F, 14, 15A, 15D, 15F
11B/C	2	2	100.0	100.0	INDISTINGUISHABLE	11B/11C		
11F	1	9	N/A	N/A	SINGLE_TARGET			11A, 11D, 11E, 11F_like, 14, 15A, 15D, 15F
12A/B/F/44/ 46	5	5	97.2	100.0	LIKELY_RESOLVABLE	12A/12B; 12A/12F; 12A/44; 12B/12F; 12B/44; 12F/44	12A/46(97.2%); 12B/46(97.2%); 12F/46(97.2%); 44/46(97.2%)	
12B	1	5	N/A	N/A	SINGLE_TARGET			12A, 12F, 44, 46
13	1	1	N/A	N/A	SINGLE_TARGET			
14	1	6	N/A	N/A	SINGLE_TARGET			15A, 15B, 15C, 15D, 15F
15A/B/C/F	4	6	3.8	100.0	RESOLVABLE	15A/15F	15A/15B(3.8%); 15A/15C(3.8%); 15B/15C(16.7%); 15B/15F(3.8%); 15C/15F(3.8%)	14, 15D
15A/F	2	3	99.1	99.1	NEAR-IDENTICAL		15A/15F(99.1%)	15D
15B/C	2	2	100.0	100.0	INDISTINGUISHABLE	15B/15C		
16A	1	1	N/A	N/A	SINGLE_TARGET			
16F	1	1	N/A	N/A	SINGLE_TARGET			
17A	1	1	N/A	N/A	SINGLE_TARGET			
17F	1	1	N/A	N/A	SINGLE_TARGET			
18A/B/C/F	4	4	86.7	100.0	RESOLVABLE	18B/18C	18A/18B(97.3%); 18A/18C(97.3%); 18A/18F(86.7%); 18B/18F(89.3%); 18C/18F(89.3%)	
18B/C/F	3	3	98.5	100.0	LIKELY_RESOLVABLE	18B/18C	18B/18F(98.5%); 18C/18F(98.5%)	
18C/F	2	3	16.4	16.4	RESOLVABLE		18C/18F(16.4%)	18B
18F:  16F/18F/28AF	2	4	98.9	98.9	LIKELY_RESOLVABLE		16F/18F(98.9%)	28A, 28F
19A	1	7	N/A	N/A	SINGLE_TARGET			19AF, 19AI, 19AII, 19AIII, 19B, 19C
19B/F	2	7	100.0	100.0	INDISTINGUISHABLE	19B/19F		19C, 19FI, 19FII, 19FIII, 19FIV
19C	1	1	N/A	N/A	SINGLE_TARGET			
19F	1	50	N/A	N/A	SINGLE_TARGET			01, 05, 06E, 07A, 07B, 07F, 09L, 09N, 10C, 10F, 11A, 11B, 11C, 11D, 13, 14, 16A, 16F, 18A, 18B, 18C, 18F, 19AF, 19B, 19FI, 19FII, 19FIII, 19FIV, 20A, 20B, 20C, 23A, 23B, 23B1, 23F, 24A, 24F, 27, 29, 33A, 33F, 35A, 36A, 36B, 39, 40, 43, 47A, 48
19F Atypical	1	1	N/A	N/A	SINGLE_TARGET			
2	1	1	N/A	N/A	SINGLE_TARGET			
20	3	3	100.0	100.0	INDISTINGUISHABLE	20A/20B; 20A/20C; 20B/20C		
21	1	1	N/A	N/A	SINGLE_TARGET			
22A/F	2	2	0.0	0.0	RESOLVABLE		22A/22F(0.0%)	
23A/B/F	3	4	98.6	100.0	LIKELY_RESOLVABLE	23A/23B	23A/23F(98.6%); 23B/23F(98.6%)	23B1
23B	1	2	N/A	N/A	SINGLE_TARGET			23B1
23F	1	4	N/A	N/A	SINGLE_TARGET			23A, 23B, 23B1
24A	1	1	N/A	N/A	SINGLE_TARGET			
24B/F	2	4	100.0	100.0	INDISTINGUISHABLE	24B/24F		24C, 24F2
25A/F	2	2	100.0	100.0	INDISTINGUISHABLE	25A/25F		
25A/F/38	3	3	100.0	100.0	INDISTINGUISHABLE	25A/25F; 25A/38; 25F/38		
27	1	1	N/A	N/A	SINGLE_TARGET			
28A/F	2	2	100.0	100.0	INDISTINGUISHABLE	28A/28F		
29	1	1	N/A	N/A	SINGLE_TARGET			
31	1	1	N/A	N/A	SINGLE_TARGET			
32A/F	2	2	100.0	100.0	INDISTINGUISHABLE	32A/32F		
33A/F/37	2	3	100.0	100.0	INDISTINGUISHABLE	33A/33F		33E
33B/C	2	2	91.1	91.1	RESOLVABLE		33B/33C(91.1%)	
33C	1	1	N/A	N/A	SINGLE_TARGET			
33D	1	2	N/A	N/A	SINGLE_TARGET			06E
34	1	1	N/A	N/A	SINGLE_TARGET			
34/37/17A	2	13	98.7	98.7	LIKELY_RESOLVABLE		17A/34(98.7%)	33A, 33E, 33F, 33G, 33H, 35A, 35B, 35C, 35D, 41F, 42
35A/C/42	3	3	96.6	100.0	LIKELY_RESOLVABLE	35C/42	35A/35C(96.6%); 35A/42(96.6%)	
35B	1	2	N/A	N/A	SINGLE_TARGET			35D
35F/47F	2	110	17.0	17.0	RESOLVABLE		35F/47F(17.0%)	02, 04, 05, 06A, 06AI, 06AII, 06AIII, 06AIV, 06AV, 06AVI, 06B, 06BI, 06BII, 06C, 06D, 06E, 06F, 06G, 07A, 07B, 07C, 07F, 08, 09A, 09L, 09N, 09V, 10A, 10B, 10C, 10D, 10F, 11E, 11F, 11F_like, 12A, 12B, 12F, 15A, 15B, 15C, 15D, 15F, 16A, 16F, 17A, 17F, 18B, 18C, 18F, 19A, 19AF, 19AI, 19AII, 19AIII, 19B, 19C, 19F, 19FI, 19FII, 19FIII, 19FIV, 21, 22A, 22F, 23A, 23B, 23B1, 23F, 24A, 24B, 24C, 24F, 24F2, 25A, 25F, 27, 28A, 28F, 29, 31, 32A, 32F, 33A, 33B, 33C, 33D, 33E, 33F, 33G, 33H, 34, 35A, 35C, 36A, 36B, 38, 39, 40, 41A, 41F, 42, 43, 44, 45, 46, 47A, 48
36	2	2	100.0	100.0	INDISTINGUISHABLE	36A/36B		
39	1	2	N/A	N/A	SINGLE_TARGET			10D
4	1	1	N/A	N/A	SINGLE_TARGET			
41A	1	1	N/A	N/A	SINGLE_TARGET			
41F	1	3	N/A	N/A	SINGLE_TARGET			31, 41A
43	1	1	N/A	N/A	SINGLE_TARGET			
45	1	1	N/A	N/A	SINGLE_TARGET			
46	1	5	N/A	N/A	SINGLE_TARGET			12A, 12B, 12F, 44
47A/F	2	2	100.0	100.0	INDISTINGUISHABLE	47A/47F		
48	1	1	N/A	N/A	SINGLE_TARGET			
5	1	1	N/A	N/A	SINGLE_TARGET			
6A/B/C/D (F/G/H)	4	15	97.4	100.0	LIKELY_RESOLVABLE	06A/06B; 06A/06D; 06B/06D	06A/06C(97.4%); 06B/06C(97.4%); 06C/06D(97.4%)	06AI, 06AII, 06AIII, 06AIV, 06AV, 06AVI, 06BI, 06BII, 06E, 06F, 06G
6A/C	2	15	98.6	98.6	LIKELY_RESOLVABLE		06A/06C(98.6%)	06AI, 06AII, 06AIII, 06AIV, 06AV, 06AVI, 06B, 06BI, 06BII, 06D, 06E, 06F, 06G
6C/D	2	3	100.0	100.0	INDISTINGUISHABLE	06C/06D		10D
7A/F	2	2	100.0	100.0	INDISTINGUISHABLE	07A/07F		
7B/C/40	3	3	99.3	100.0	NEAR-IDENTICAL	07B/07C	07B/40(99.3%); 07C/40(99.3%)	
8	1	1	N/A	N/A	SINGLE_TARGET			
